timestamp,sender,receiver,amount,sender_balance,is_fraud,balance_ratio,transaction_count,is_anomaly
2024-11-06 18:19:57,4000007312098459,4000008637540910,4151,14909,0,0.2784037558685446,1,0
2024-11-06 18:19:57,4000004695078125,4000005279813605,8961,60059,0,0.1492007992007992,1,0
2024-11-06 18:19:57,4000008650143972,4000001638029454,10147,87544,0,0.11590610543149238,1,0
2024-11-06 18:19:57,4000000356217846,4000007513604899,2287,130490,0,0.017526112912001596,2,0
2024-11-06 18:19:57,4000007430261955,4000001068243575,7497,137127,0,0.05467154775100636,1,0
2024-11-06 18:19:57,4000007284916357,4000008039741629,12921,78385,0,0.1648381088459674,1,0
2024-11-06 18:19:57,4000002954731863,4000004921570382,3182,7319,0,0.4346994535519126,1,0
2024-11-06 18:19:57,4000004387612959,4000009021534766,3116,37320,0,0.08349186784920018,1,0
2024-11-06 18:19:57,4000006580729431,4000000193562743,9262,74671,0,0.12403578315834583,1,0
2024-11-06 18:19:57,4000008063914571,4000008397645206,2463,161034,0,0.015294811686900363,1,0
2024-11-06 18:19:57,4000002970643589,4000003147805697,4838,29401,0,0.1645466294809877,2,0
2024-11-06 18:19:57,4000003890524768,4000000578239644,1428,3246,0,0.4397905759162304,1,0
2024-11-06 18:19:57,4000001825934078,4000006301297544,2162,23607,0,0.09157912572009488,1,0
2024-11-06 18:19:57,4000003789652019,4000002596048734,9210,57620,0,0.15983755922319987,1,0
2024-11-06 18:19:57,4000000795842311,4000001279460380,1544,53615,0,0.028797373918233362,1,0
2024-11-06 18:19:57,4000008246350974,4000003564978019,2701,37260,0,0.0724886610665307,1,0
2024-11-06 18:19:57,4000004901385678,4000001584790265,6222,32170,0,0.19340399738895278,2,0
2024-11-06 18:19:57,4000002736549815,4000007581296032,8081,18241,0,0.44298870737857693,1,0
2024-11-06 18:19:57,4000007350426919,4000001042673855,3105,37192,0,0.08348345118705133,1,0
2024-11-06 18:19:57,4000002387096413,4000002073514984,6782,35505,0,0.19100997014589083,1,0
2024-11-06 18:19:57,4000009318507269,4000008690214353,28645,113984,1,0.2513049962714392,2,0
2024-11-06 18:19:57,4000000657428936,4000003756819427,18332,65031,0,0.28189199163488743,1,0
2024-11-06 18:19:57,4000004975380613,4000004307125694,11871,14206,0,0.8355740128105863,1,1
2024-11-06 18:19:57,4000008594760329,4000009137568427,17620,53125,0,0.3316643451417385,1,0
2024-11-06 18:19:57,4000006173950428,4000002931876450,15422,106074,0,0.14538769738392646,2,0
2024-11-06 18:19:57,4000005208796137,4000002146385701,12214,43428,0,0.2812406456515232,1,0
2024-11-06 18:19:57,4000007120586349,4000001024578395,6959,8777,0,0.7927773980405559,1,0
2024-11-06 18:19:57,4000005389107468,4000003761024856,8427,37146,0,0.2268554661210865,2,0
2024-11-06 18:19:57,4000006981247033,4000007421680536,4632,45590,0,0.10159899980259261,1,0
2024-11-06 18:19:57,4000002381957602,4000009584136728,262,456,0,0.5733041575492341,1,0
2024-11-06 18:19:57,4000000385196276,4000004057138962,19164,162470,0,0.11795335783001273,2,0
2024-11-06 18:19:57,4000004610529731,4000002086719430,4229,42766,0,0.09888465405569714,2,0
2024-11-06 18:19:57,4000007214309681,4000008950461322,17823,123956,0,0.14378373145526271,1,0
2024-11-06 18:19:57,4000009853046277,4000000714398262,6090,57171,0,0.10652067445602742,1,0
2024-11-06 18:19:57,4000004715603829,4000004653781207,18772,89496,0,0.2097500474876253,2,0
2024-11-06 18:19:57,4000008196357409,4000007612490356,11416,30257,0,0.37728865093528985,1,0
2024-11-06 18:19:57,4000001906872452,4000009513246085,9281,41963,0,0.2211657611285864,1,0
2024-11-06 18:19:57,4000003854012966,4000005493816020,2274,11163,0,0.2036904335363669,1,0
2024-11-06 18:19:57,4000007941038256,4000004361082575,2889,12762,0,0.22635743947347803,1,0
2024-11-06 18:19:57,4000005978163245,4000004291563082,7586,10515,0,0.7213769494104222,1,0
2024-11-06 18:19:57,4000007529843606,4000005081436272,16227,89993,0,0.18031202080138675,1,0
2024-11-06 18:19:57,4000008624170531,4000007984316205,19040,83787,0,0.22724017759106316,1,0
2024-11-06 18:19:57,4000000195682374,4000005149806375,6143,33067,0,0.185768719003266,1,0
